Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch 369.26 | loss  6.85 | ppl   939.27
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch 367.08 | loss  5.05 | ppl   155.98
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch 369.81 | loss  5.05 | ppl   156.18
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch 369.76 | loss  5.05 | ppl   156.56
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch 369.12 | loss  5.04 | ppl   153.99
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch 366.31 | loss  5.05 | ppl   156.11
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch 368.52 | loss  5.01 | ppl   149.53
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch 368.72 | loss  5.02 | ppl   151.54
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch 368.75 | loss  4.98 | ppl   146.13
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch 367.56 | loss  5.05 | ppl   156.77
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch 369.93 | loss  5.00 | ppl   147.79
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch 366.92 | loss  4.96 | ppl   142.25
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch 366.12 | loss  4.97 | ppl   144.36
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch 361.22 | loss  4.95 | ppl   141.88
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch 359.67 | loss  5.00 | ppl   148.13
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch 359.41 | loss  5.01 | ppl   149.27
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch 360.67 | loss  4.97 | ppl   144.48
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch 360.30 | loss  4.97 | ppl   144.15
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch 359.10 | loss  4.93 | ppl   138.64
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch 358.78 | loss  4.95 | ppl   141.42
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch 358.89 | loss  4.98 | ppl   145.22
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch 359.31 | loss  4.99 | ppl   147.35
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch 359.73 | loss  4.93 | ppl   138.88
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch 361.76 | loss  4.92 | ppl   137.53
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch 359.06 | loss  4.93 | ppl   137.69
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 5840.63s | valid loss  5.12 | valid ppl   166.91
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch 360.91 | loss  4.97 | ppl   143.79
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch 360.14 | loss  4.97 | ppl   144.35
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch 356.64 | loss  4.99 | ppl   146.70
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch 358.03 | loss  4.92 | ppl   136.75
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch 359.51 | loss  4.91 | ppl   135.02
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch 357.99 | loss  4.94 | ppl   140.47
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch 358.39 | loss  4.96 | ppl   142.32
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch 359.36 | loss  4.95 | ppl   141.30
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch 361.64 | loss  4.96 | ppl   142.28
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch 360.30 | loss  4.96 | ppl   143.12
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch 360.26 | loss  4.95 | ppl   141.72
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch 360.77 | loss  4.97 | ppl   143.71
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch 358.85 | loss  4.93 | ppl   138.10
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch 358.23 | loss  4.94 | ppl   139.84
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch 358.91 | loss  4.91 | ppl   135.20
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch 358.33 | loss  4.98 | ppl   145.27
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch 359.23 | loss  4.92 | ppl   137.64
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch 359.52 | loss  4.89 | ppl   132.67
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch 359.79 | loss  4.90 | ppl   134.75
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch 361.54 | loss  4.88 | ppl   132.18
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch 360.65 | loss  4.93 | ppl   138.59
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch 360.01 | loss  4.94 | ppl   140.22
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch 358.59 | loss  4.91 | ppl   135.45
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch 360.08 | loss  4.91 | ppl   135.49
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch 360.25 | loss  4.87 | ppl   130.62
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch 362.17 | loss  4.89 | ppl   133.06
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch 361.88 | loss  4.91 | ppl   136.05
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch 362.93 | loss  4.93 | ppl   138.43
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch 363.41 | loss  4.88 | ppl   131.58
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch 361.93 | loss  4.87 | ppl   130.28
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch 362.33 | loss  4.87 | ppl   129.92
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 5777.98s | valid loss  5.08 | valid ppl   160.90
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch 363.97 | loss  4.91 | ppl   136.16
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch 362.46 | loss  4.92 | ppl   136.54
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch 361.93 | loss  4.93 | ppl   138.40
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch 364.90 | loss  4.87 | ppl   129.81
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch 363.51 | loss  4.86 | ppl   128.73
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch 363.68 | loss  4.90 | ppl   133.76
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch 364.72 | loss  4.91 | ppl   135.53
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch 362.92 | loss  4.90 | ppl   134.42
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch 363.34 | loss  4.91 | ppl   135.49
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch 363.47 | loss  4.91 | ppl   135.84
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch 360.22 | loss  4.91 | ppl   135.39
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch 363.12 | loss  4.92 | ppl   137.67
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch 363.11 | loss  4.88 | ppl   132.24
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch 362.98 | loss  4.90 | ppl   133.70
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch 362.83 | loss  4.87 | ppl   129.87
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch 363.93 | loss  4.93 | ppl   138.90
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch 364.60 | loss  4.88 | ppl   132.17
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch 364.14 | loss  4.85 | ppl   127.44
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch 362.50 | loss  4.87 | ppl   129.68
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch 362.71 | loss  4.85 | ppl   127.20
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch 361.53 | loss  4.89 | ppl   133.30
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch 360.11 | loss  4.90 | ppl   134.59
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch 360.71 | loss  4.87 | ppl   130.91
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch 359.41 | loss  4.87 | ppl   130.64
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch 358.95 | loss  4.84 | ppl   126.01
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch 359.58 | loss  4.86 | ppl   128.50
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch 361.52 | loss  4.88 | ppl   131.29
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch 362.49 | loss  4.89 | ppl   133.53
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch 361.05 | loss  4.85 | ppl   127.70
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch 359.18 | loss  4.84 | ppl   126.75
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch 359.50 | loss  4.84 | ppl   125.87
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 5810.61s | valid loss  5.06 | valid ppl   157.65
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 20.00 | ms/batch 364.20 | loss  4.88 | ppl   131.48
| epoch   5 |  1000/15983 batches | lr 20.00 | ms/batch 362.82 | loss  4.88 | ppl   131.67
| epoch   5 |  1500/15983 batches | lr 20.00 | ms/batch 361.14 | loss  4.89 | ppl   133.33
| epoch   5 |  2000/15983 batches | lr 20.00 | ms/batch 362.68 | loss  4.83 | ppl   125.54
| epoch   5 |  2500/15983 batches | lr 20.00 | ms/batch 364.54 | loss  4.83 | ppl   124.96
| epoch   5 |  3000/15983 batches | lr 20.00 | ms/batch 361.57 | loss  4.87 | ppl   129.74
| epoch   5 |  3500/15983 batches | lr 20.00 | ms/batch 361.57 | loss  4.88 | ppl   131.26
| epoch   5 |  4000/15983 batches | lr 20.00 | ms/batch 363.47 | loss  4.87 | ppl   130.06
| epoch   5 |  4500/15983 batches | lr 20.00 | ms/batch 362.63 | loss  4.88 | ppl   131.51
| epoch   5 |  5000/15983 batches | lr 20.00 | ms/batch 360.61 | loss  4.88 | ppl   131.69
| epoch   5 |  5500/15983 batches | lr 20.00 | ms/batch 361.00 | loss  4.88 | ppl   131.69
| epoch   5 |  6000/15983 batches | lr 20.00 | ms/batch 360.02 | loss  4.90 | ppl   133.80
| epoch   5 |  6500/15983 batches | lr 20.00 | ms/batch 362.39 | loss  4.86 | ppl   128.66
| epoch   5 |  7000/15983 batches | lr 20.00 | ms/batch 360.81 | loss  4.87 | ppl   130.23
| epoch   5 |  7500/15983 batches | lr 20.00 | ms/batch 358.87 | loss  4.84 | ppl   125.91
| epoch   5 |  8000/15983 batches | lr 20.00 | ms/batch 358.60 | loss  4.90 | ppl   134.82
| epoch   5 |  8500/15983 batches | lr 20.00 | ms/batch 359.32 | loss  4.86 | ppl   128.56
| epoch   5 |  9000/15983 batches | lr 20.00 | ms/batch 358.97 | loss  4.82 | ppl   124.20
| epoch   5 |  9500/15983 batches | lr 20.00 | ms/batch 363.95 | loss  4.84 | ppl   126.45
| epoch   5 | 10000/15983 batches | lr 20.00 | ms/batch 363.35 | loss  4.82 | ppl   124.12
| epoch   5 | 10500/15983 batches | lr 20.00 | ms/batch 361.94 | loss  4.87 | ppl   129.93
| epoch   5 | 11000/15983 batches | lr 20.00 | ms/batch 363.24 | loss  4.88 | ppl   131.22
| epoch   5 | 11500/15983 batches | lr 20.00 | ms/batch 362.81 | loss  4.85 | ppl   127.52
| epoch   5 | 12000/15983 batches | lr 20.00 | ms/batch 364.04 | loss  4.85 | ppl   127.25
| epoch   5 | 12500/15983 batches | lr 20.00 | ms/batch 360.34 | loss  4.81 | ppl   122.95
| epoch   5 | 13000/15983 batches | lr 20.00 | ms/batch 360.44 | loss  4.83 | ppl   125.46
| epoch   5 | 13500/15983 batches | lr 20.00 | ms/batch 360.00 | loss  4.85 | ppl   127.99
| epoch   5 | 14000/15983 batches | lr 20.00 | ms/batch 360.14 | loss  4.87 | ppl   130.19
| epoch   5 | 14500/15983 batches | lr 20.00 | ms/batch 360.43 | loss  4.83 | ppl   125.13
| epoch   5 | 15000/15983 batches | lr 20.00 | ms/batch 360.41 | loss  4.82 | ppl   123.97
| epoch   5 | 15500/15983 batches | lr 20.00 | ms/batch 359.21 | loss  4.81 | ppl   122.77
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 5796.98s | valid loss  5.04 | valid ppl   154.86
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 20.00 | ms/batch 358.52 | loss  4.85 | ppl   128.04
| epoch   6 |  1000/15983 batches | lr 20.00 | ms/batch 358.10 | loss  4.85 | ppl   128.30
| epoch   6 |  1500/15983 batches | lr 20.00 | ms/batch 358.05 | loss  4.87 | ppl   129.97
| epoch   6 |  2000/15983 batches | lr 20.00 | ms/batch 358.36 | loss  4.81 | ppl   122.56
| epoch   6 |  2500/15983 batches | lr 20.00 | ms/batch 359.03 | loss  4.81 | ppl   122.20
| epoch   6 |  3000/15983 batches | lr 20.00 | ms/batch 358.87 | loss  4.85 | ppl   127.27
| epoch   6 |  3500/15983 batches | lr 20.00 | ms/batch 358.40 | loss  4.85 | ppl   128.18
| epoch   6 |  4000/15983 batches | lr 20.00 | ms/batch 358.54 | loss  4.84 | ppl   126.84
| epoch   6 |  4500/15983 batches | lr 20.00 | ms/batch 356.18 | loss  4.86 | ppl   128.56
| epoch   6 |  5000/15983 batches | lr 20.00 | ms/batch 358.27 | loss  4.86 | ppl   128.91
| epoch   6 |  5500/15983 batches | lr 20.00 | ms/batch 357.22 | loss  4.86 | ppl   128.81
| epoch   6 |  6000/15983 batches | lr 20.00 | ms/batch 356.81 | loss  4.87 | ppl   130.75
| epoch   6 |  6500/15983 batches | lr 20.00 | ms/batch 355.51 | loss  4.83 | ppl   125.77
| epoch   6 |  7000/15983 batches | lr 20.00 | ms/batch 354.07 | loss  4.85 | ppl   127.45
| epoch   6 |  7500/15983 batches | lr 20.00 | ms/batch 355.51 | loss  4.82 | ppl   123.42
| epoch   6 |  8000/15983 batches | lr 20.00 | ms/batch 356.00 | loss  4.88 | ppl   131.72
| epoch   6 |  8500/15983 batches | lr 20.00 | ms/batch 356.28 | loss  4.84 | ppl   126.01
| epoch   6 |  9000/15983 batches | lr 20.00 | ms/batch 359.67 | loss  4.81 | ppl   122.27
| epoch   6 |  9500/15983 batches | lr 20.00 | ms/batch 358.50 | loss  4.82 | ppl   123.93
| epoch   6 | 10000/15983 batches | lr 20.00 | ms/batch 358.63 | loss  4.80 | ppl   121.48
| epoch   6 | 10500/15983 batches | lr 20.00 | ms/batch 358.60 | loss  4.85 | ppl   127.48
| epoch   6 | 11000/15983 batches | lr 20.00 | ms/batch 356.78 | loss  4.86 | ppl   128.39
| epoch   6 | 11500/15983 batches | lr 20.00 | ms/batch 358.46 | loss  4.83 | ppl   125.23
| epoch   6 | 12000/15983 batches | lr 20.00 | ms/batch 357.29 | loss  4.83 | ppl   125.28
| epoch   6 | 12500/15983 batches | lr 20.00 | ms/batch 358.87 | loss  4.79 | ppl   120.50
| epoch   6 | 13000/15983 batches | lr 20.00 | ms/batch 358.52 | loss  4.81 | ppl   123.26
| epoch   6 | 13500/15983 batches | lr 20.00 | ms/batch 358.62 | loss  4.83 | ppl   125.49
| epoch   6 | 14000/15983 batches | lr 20.00 | ms/batch 358.84 | loss  4.85 | ppl   127.78
| epoch   6 | 14500/15983 batches | lr 20.00 | ms/batch 358.71 | loss  4.81 | ppl   122.91
| epoch   6 | 15000/15983 batches | lr 20.00 | ms/batch 357.44 | loss  4.80 | ppl   121.87
| epoch   6 | 15500/15983 batches | lr 20.00 | ms/batch 355.41 | loss  4.80 | ppl   120.96
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 5737.34s | valid loss  5.04 | valid ppl   154.55
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss  5.11 | test ppl   164.88
=========================================================================================
